idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
93,1786913676.147572,1786913676.153553,1786913678.579818,1545236127.921757,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
94,1786913680.147476,1786913680.152400,1786913682.134907,1545236129.881743,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
95,1786913682.147693,1786913682.152086,1786913684.579718,1545236130.921737,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
96,1786913686.147826,1786913686.153227,1786913689.773017,1545236132.901794,25,28,1,1,0,855,72,126074880,120.234375,,,0,,126074880,120.234375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
97,1786913690.147621,1786913690.152426,1786913692.442780,1545236134.901762,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
98,1786913694.147573,1786913694.152421,1786913696.470894,1545236136.921690,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
99,1786913698.147516,1786913698.152441,1786913700.346677,1545236138.921722,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
100,1786913702.147577,1786913702.152514,1786913704.456108,1545236140.901797,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
101,1786913706.147744,1786913706.153524,1786913709.046088,1545236142.921634,18,21,1,1,0,848,72,125042688,119.250000,,,0,,125042688,119.250000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
102,1786913710.147472,1786913710.152215,1786913713.024465,1545236144.901636,18,21,1,1,0,848,72,125042688,119.250000,,,0,,125042688,119.250000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
