dataset,run,idx,ros_stamp_s,cfg_nav,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,prompt_kv_seq_len,prompt_kv_mib,unguided_prompt_kv_mib,total_kv_mib,model_parameter_mib,cuda_peak_allocated_gib,cuda_peak_reserved_gib,cuda_peak_allocated_delta_mib,cuda_peak_reserved_delta_mib,kv_pct_of_peak_allocated,model_duration_s,input_camera_frames,gpu_energy_j,total_energy_j,total_tflop
MCity,kv/mcity_diff2,120,1545236180.881390,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.432824,4,48.127,156.078,64.032
MCity,kv/mcity_diff2,121,1545236182.921308,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.091995,4,42.277,136.314,64.032
MCity,kv/mcity_diff2,122,1545236184.901301,0,15,18,1,1,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.532117,4,49.326,161.711,64.032
MCity,kv/mcity_diff2,123,1545236186.921347,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.309215,4,45.863,148.454,64.032
MCity,kv/mcity_diff2,124,1545236188.881263,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.088322,4,42.210,135.882,64.032
MCity,kv/mcity_diff2,125,1545236190.901274,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.092349,4,42.034,135.660,63.947
MCity,kv/mcity_diff2,126,1545236192.921302,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.988845,4,40.548,129.981,64.032
MCity,kv/mcity_diff2,127,1545236193.901239,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.322892,4,50.643,149.404,64.032
MCity,kv/mcity_diff2,128,1545236195.901215,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.316432,4,45.845,149.212,64.032
MCity,kv/mcity_diff2,129,1545236197.921189,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.335618,4,45.951,150.355,
MCity,kv/mcity_diff2,130,1545236199.921199,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.310078,4,45.942,148.836,
