run,idx,ros_stamp_s,camera_rows_matched,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_mean_s,camera_staleness_max_s,selected_count_min,buffer_len_max,received_count_max
diffusion_matched/mcity_diff2,41,1545236008.922624,1,-0.060418,-0.060418,-0.060418,0.000000,0.000000,4,12,623
diffusion_matched/mcity_diff2,42,1545236009.902685,1,-0.079713,-0.079713,-0.079713,0.000000,0.000000,4,12,633
diffusion_matched/mcity_diff2,43,1545236010.922653,1,-0.058510,-0.058510,-0.058510,0.000000,0.000000,4,12,643
diffusion_matched/mcity_diff2,44,1545236011.922659,1,-0.057513,-0.057513,-0.057513,0.000000,0.000000,4,12,653
diffusion_matched/mcity_diff2,45,1545236012.902693,1,-0.077016,-0.077016,-0.077016,0.000000,0.000000,4,12,663
diffusion_matched/mcity_diff2,46,1545236013.882709,1,-0.096069,-0.096069,-0.096069,0.000000,0.000000,4,12,673
diffusion_matched/mcity_diff2,47,1545236014.922673,1,-0.054775,-0.054775,-0.054775,0.000000,0.000000,4,12,683
diffusion_matched/mcity_diff2,48,1545236015.922744,1,-0.054128,-0.054128,-0.054128,0.000000,0.000000,4,12,693
diffusion_matched/mcity_diff2,49,1545236016.902630,1,-0.073019,-0.073019,-0.073019,0.000000,0.000000,4,12,703
diffusion_matched/mcity_diff2,50,1545236017.922680,1,-0.052067,-0.052067,-0.052067,0.000000,0.000000,4,12,713
diffusion_matched/mcity_diff2,51,1545236018.902597,1,-0.071452,-0.071452,-0.071452,0.000000,0.000000,4,12,723
diffusion_matched/mcity_diff2,52,1545236019.882693,1,-0.090127,-0.090127,-0.090127,0.000000,0.000000,4,12,733
diffusion_matched/mcity_diff2,53,1545236020.882621,1,-0.089358,-0.089358,-0.089358,0.000000,0.000000,4,12,743
diffusion_matched/mcity_diff2,54,1545236023.922633,1,-0.046616,-0.046616,-0.046616,0.000000,0.000000,4,12,773
diffusion_matched/mcity_diff2,55,1545236024.902571,1,-0.066047,-0.066047,-0.066047,0.000000,0.000000,4,12,783
diffusion_matched/mcity_diff2,56,1545236025.882617,1,-0.084796,-0.084796,-0.084796,0.000000,0.000000,4,12,793
diffusion_matched/mcity_diff2,57,1545236026.902694,1,-0.063705,-0.063705,-0.063705,0.000000,0.000000,4,12,803
diffusion_matched/mcity_diff2,58,1545236027.882519,1,-0.083338,-0.083338,-0.083338,0.000000,0.000000,4,12,813
diffusion_matched/mcity_diff2,59,1545236028.922605,1,-0.041996,-0.041996,-0.041996,0.000000,0.000000,4,12,823
diffusion_matched/mcity_diff2,60,1545236029.902567,1,-0.061148,-0.061148,-0.061148,0.000000,0.000000,4,12,833
diffusion_matched/mcity_diff2,61,1545236030.882491,1,-0.080529,-0.080529,-0.080529,0.000000,0.000000,4,12,843
diffusion_matched/mcity_diff2,62,1545236031.922488,1,-0.039313,-0.039313,-0.039313,0.000000,0.000000,4,12,853
diffusion_matched/mcity_diff2,63,1545236032.902556,1,-0.058507,-0.058507,-0.058507,0.000000,0.000000,4,12,863
diffusion_matched/mcity_diff2,64,1545236033.882473,1,-0.077796,-0.077796,-0.077796,0.000000,0.000000,4,12,873
diffusion_matched/mcity_diff2,65,1545236035.902520,1,-0.055644,-0.055644,-0.055644,0.000000,0.000000,4,12,893
diffusion_matched/mcity_diff2,66,1545236036.922458,1,-0.035153,-0.035153,-0.035153,0.000000,0.000000,4,12,903
diffusion_matched/mcity_diff2,67,1545236037.902443,1,-0.053888,-0.053888,-0.053888,0.000000,0.000000,4,12,913
diffusion_matched/mcity_diff2,68,1545236039.922448,1,-0.032341,-0.032341,-0.032341,0.000000,0.000000,4,12,933
diffusion_matched/mcity_diff2,69,1545236040.902438,1,-0.051177,-0.051177,-0.051177,0.000000,0.000000,4,12,943
diffusion_matched/mcity_diff2,70,1545236041.922422,1,-0.030216,-0.030216,-0.030216,0.000000,0.000000,4,12,953
diffusion_matched/mcity_diff2,71,1545236042.902428,1,-0.049670,-0.049670,-0.049670,0.000000,0.000000,4,12,963
diffusion_matched/mcity_diff2,72,1545236043.902399,1,-0.048471,-0.048471,-0.048471,0.000000,0.000000,4,12,973
diffusion_matched/mcity_diff2,73,1545236046.882434,1,-0.065703,-0.065703,-0.065703,0.000000,0.000000,4,12,1003
diffusion_matched/mcity_diff2,74,1545236048.902375,1,-0.044272,-0.044272,-0.044272,0.000000,0.000000,4,12,1023
diffusion_matched/mcity_diff2,75,1545236051.922370,1,-0.021522,-0.021522,-0.021522,0.000000,0.000000,4,12,1053
diffusion_matched/mcity_diff2,76,1545236052.922340,1,-0.020197,-0.020197,-0.020197,0.000000,0.000000,4,12,1063
diffusion_matched/mcity_diff2,77,1545236053.902387,1,-0.039302,-0.039302,-0.039302,0.000000,0.000000,4,12,1073
diffusion_matched/mcity_diff2,78,1545236055.902403,1,-0.037377,-0.037377,-0.037377,0.000000,0.000000,4,12,1093
diffusion_matched/mcity_diff2,79,1545236056.902365,1,-0.036485,-0.036485,-0.036485,0.000000,0.000000,4,12,1103
diffusion_matched/mcity_diff2,80,1545236058.902375,1,-0.034653,-0.034653,-0.034653,0.000000,0.000000,4,12,1123
diffusion_matched/mcity_diff2,81,1545236061.902342,1,-0.031966,-0.031966,-0.031966,0.000000,0.000000,4,12,1153
diffusion_matched/mcity_diff2,82,1545236063.922281,1,-0.010434,-0.010434,-0.010434,0.000000,0.000000,4,12,1173
diffusion_matched/mcity_diff2,83,1545236064.902238,1,-0.029262,-0.029262,-0.029262,0.000000,0.000000,4,12,1183
